,NTA_Unq_ID,ntacode,ntaname,pct_buildings_coolRoof,pct_Area_coolRoof,Heat_Vulnerability,pct_imp,pct_permeable,pct_trees,NTA_PCT_MRT_Less_Than_110,Relative_ST_Average,pct_tree_class,MRT_class,RelativeST_class,Permeable_class,cool_roof_class,Outdooor_Heat_Volnerability_Index
0,1,BK43,Midwood,23.36204077183037,38.78930086494434,3.0,70.74200560441358,4.906307442962698,23.305711398528608,0.420823599149202,18.03116417731684,2,2,4,4,3,3.0
1,2,BK75,Bedford,54.76302944418202,49.25159107,5.0,76.66041262371427,2.6967083734985287,20.338367828981934,0.410811633329239,16.733672390801075,2,2,3,5,2,2.8
2,3,BX40,Fordham South,56.16438356164384,63.2818428,5.0,86.73946318496745,1.2520642303381206,10.439904718175338,0.29927995551849,16.95911072955585,5,4,4,5,1,3.8
3,4,BK88,Borough Park,36.19766845076619,39.61690144893651,4.0,76.42005480620185,5.0183057521162455,17.383556268378864,0.355639643066402,18.83022943835712,3,2,5,4,3,3.4
4,5,BK96,Rugby-Remsen Village,50.65880721220527,58.43807876573687,5.0,82.57243789,3.379851364119841,13.758707648054475,0.270161704635565,17.50167400322825,5,4,4,5,1,3.8
5,6,QN52,East Flushing,15.31332744924978,20.444681265468905,2.0,61.02491476118086,17.730062268760488,21.01452650771576,0.322663552160484,17.95207508065199,2,3,4,2,4,3.0
6,7,QN53,Woodhaven,34.46534734098868,41.42471803,3.0,76.89209414,3.943896105103502,18.19204486942974,0.328372905225554,17.033474862107198,3,3,4,4,3,3.4
7,8,BK44,Madison,31.012228260869566,39.02609141418784,2.0,75.25126644,5.128722295961414,18.62513764124435,0.348971739147715,17.33781932923952,3,2,4,4,3,3.2
8,9,QN48,Auburndale,14.425822470515207,17.85113897743404,2.0,61.44509677726033,15.675814120642691,22.46805813281087,0.335269865888551,18.55058447772807,2,3,5,2,5,3.4
9,10,BX44,Williamsbridge-Olinville,38.12013618677043,42.16071754178023,5.0,74.89980219270312,7.950972941083541,15.901231442134394,0.294914497878038,17.907643142586398,4,4,4,3,3,3.6
10,11,QN51,Murray Hill,18.13602015,26.43655324161858,2.0,61.34104879646664,14.425874777904555,23.588206940567936,0.366497990317486,17.416133954015375,2,2,4,2,4,2.8
11,12,QN27,East Elmhurst,27.954931972789115,33.11779796505536,4.0,72.65106346361758,9.628678964659104,17.5436238,0.280316053977283,19.07897353792635,3,4,5,3,4,3.8
12,13,BK81,Brownsville,39.40573770491803,45.91733940870286,5.0,73.34403256229425,6.605651471780232,18.158309667614272,0.324909215931766,18.07453385699231,3,3,4,3,3,3.2
