datetime,feelslikemax,feelslikemin,stations,address,latitude,longitude,Day,Normal_Temp_Max,Normal_Temp_Min,Normal_Temp_Mean,Record_Max,Record_Max_Year,Record_Min,Record_Min_Year,Days_warmer_than_normal_max,Days_warmer_than_normal_min,Days_warmer_than_max_record,ExcessiveHeat,HeatAdvisory,NYC_HeatEvent
2022-05-01,58.0,46.5,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-01,68,51,59,87,2001,35,1880,0,0,0,,,
2022-05-02,54.1,51.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-02,68,51,60,90,2018,37,1903,0,0,0,,,
2022-05-03,56.0,43.6,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-03,68,51,60,92,2018,33,1874,0,0,0,,,
2022-05-04,62.0,43.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-04,68,52,60,92,2001,38,1917,0,0,0,,,
2022-05-05,63.1,56.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-05,69,52,60,90,1980,34,1891,0,1,0,,,
2022-05-06,58.0,42.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-06,69,52,61,92,1986,32,1891,0,0,0,,,
2022-05-07,51.0,37.6,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-07,69,53,61,93,2000,37,1891,0,0,0,,,
2022-05-08,56.0,37.6,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-08,70,53,61,91,2000,36,2020,0,0,0,,,
2022-05-09,63.9,41.7,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-09,70,53,61,94,1979,34,2020,0,0,0,,,
2022-05-10,65.0,53.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-10,70,53,62,94,1979,36,1966,0,0,0,,,
2022-05-11,63.9,53.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-11,70,54,62,92,1993,36,1913,0,0,0,,,
2022-05-12,58.0,53.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-12,71,54,62,93,1881,40,1907,0,0,0,,,
2022-05-13,58.0,53.0,['SDHN4' 'remote'],SDHN4,40.4669,-74.0094,2022-05-13,71,54,62,89,1956,39,1895,0,0,0,,,
2022-05-14,60.0,54.1,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-14,71,54,63,88,1900,40,1878,0,1,0,,,
2022-05-15,70.1,56.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-15,71,55,63,90,1900,42,1947,0,1,0,,,
2022-05-16,74.0,61.1,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-16,71,55,63,90,1951,42,1878,1,1,0,,,
2022-05-17,70.1,56.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-17,72,55,63,92,1974,39,1956,0,1,0,,,
2022-05-18,65.0,56.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-18,72,56,64,92,2017,41,1973,0,1,0,,,
2022-05-19,62.0,53.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-19,72,56,64,99,1962,38,1976,0,0,0,,,
2022-05-20,63.1,54.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-20,72,56,64,96,1996,43,2002,0,0,0,,,
2022-05-21,83.9,56.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-21,73,56,65,93,1996,40,1907,1,1,0,,,
2022-05-22,83.0,72.1,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-22,73,57,65,96,1941,42,1907,1,1,0,,,
2022-05-23,72.1,61.1,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-23,73,57,65,94,1964,43,1963,0,1,0,,,
2022-05-24,63.9,56.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-24,73,57,65,93,1975,39,1963,0,0,0,,,
2022-05-25,58.9,54.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-25,74,58,66,95,1880,41,1925,0,0,0,,,
2022-05-26,63.9,54.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-26,74,58,66,95,1880,42,1967,0,0,0,,,
2022-05-27,74.0,62.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-27,74,58,66,96,1880,41,1961,1,1,0,,,
2022-05-28,71.0,62.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-28,74,58,66,94,1959,43,1961,0,1,0,,,
2022-05-29,70.1,62.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-29,75,59,67,97,1969,43,1902,0,1,0,,,
2022-05-30,79.1,63.1,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-30,75,59,67,97,1987,42,1884,1,1,0,,,
2022-05-31,87.0,63.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-05-31,75,59,67,96,1939,46,1938,1,1,0,,,
2022-06-01,62.0,58.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-01,75,60,68,96,1895,44,1945,0,0,0,,,
2022-06-02,74.0,62.0,['remote' 'SDHN4'],SDHN4,40.4669,-74.0094,2022-06-02,76,60,68,96,1895,48,1946,0,1,0,,,
2022-06-03,71.0,62.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-03,76,60,68,95,1895,45,1929,0,1,0,,,
2022-06-04,71.0,65.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-04,76,61,69,99,1925,48,1926,0,1,0,,,
2022-06-05,70.1,62.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-05,77,61,69,99,1925,47,1945,0,1,0,,,
2022-06-06,74.0,63.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-06,77,61,69,98,1925,47,1945,0,1,0,,,
2022-06-07,72.1,63.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-07,77,62,69,96,1925,47,1879,0,1,0,,,
2022-06-08,76.9,67.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-08,78,62,70,95,1933,47,1932,0,1,0,,,
2022-06-09,76.9,67.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-09,78,62,70,97,1933,47,1980,0,1,0,,,
2022-06-10,74.0,63.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-10,78,63,70,96,2008,49,1972,0,1,0,,,
2022-06-11,71.0,67.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-11,78,63,71,95,1973,46,1972,0,1,0,,,
2022-06-12,70.1,63.9,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-12,79,63,71,93,2017,48,1979,0,1,0,,,
2022-06-13,81.9,67.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-13,79,64,71,96,1961,51,1953,1,1,0,,,
2022-06-14,76.9,67.0,['SDHN4'],SDHN4,40.4669,-74.0094,2022-06-14,79,64,72,99,1956,49,1875,0,1,0,,,
