datetime,Normal_Temp_Max,Normal_Temp_Min,Normal_Temp_Mean,Record_Max,Record_Max_Year,Record_Min,Record_Min_Year,Days_warmer_than_normal_max,Days_warmer_than_normal_min,Days_warmer_than_max_record,ExcessiveHeat,HeatAdvisory,NYC_HeatEvent
2013-05-01,68,51,59,87,2001,35,1880,0,0,0,,,
2013-05-02,68,51,60,90,2018,37,1903,0,0,0,,,
2013-05-03,68,51,60,92,2018,33,1874,0,0,0,,,
2013-05-04,68,52,60,92,2001,38,1917,0,0,0,,,
2013-05-05,69,52,60,90,1980,34,1891,0,0,0,,,
2013-05-06,69,52,61,92,1986,32,1891,0,0,0,,,
2013-05-07,69,53,61,93,2000,37,1891,0,0,0,,,
2013-05-08,70,53,61,91,2000,36,2020,0,1,0,,,
2013-05-09,70,53,61,94,1979,34,2020,0,1,0,,,
2013-05-10,70,53,62,94,1979,36,1966,0,1,0,,,
2013-05-11,70,54,62,92,1993,36,1913,0,1,0,,,
2013-05-12,71,54,62,93,1881,40,1907,0,0,0,,,
2013-05-13,71,54,62,89,1956,39,1895,0,0,0,,,
2013-05-14,71,54,63,88,1900,40,1878,0,0,0,,,
2013-05-15,71,55,63,90,1900,42,1947,0,0,0,,,
2013-05-16,71,55,63,90,1951,42,1878,0,1,0,,,
2013-05-17,72,55,63,92,1974,39,1956,0,1,0,,,
2013-05-18,72,56,64,92,2017,41,1973,0,0,0,,,
2013-05-19,72,56,64,99,1962,38,1976,0,1,0,,,
2013-05-20,72,56,64,96,1996,43,2002,0,1,0,,,
2013-05-21,73,56,65,93,1996,40,1907,0,1,0,,,
2013-05-22,73,57,65,96,1941,42,1907,0,1,0,,,
2013-05-23,73,57,65,94,1964,43,1963,0,1,0,,,
2013-05-24,73,57,65,93,1975,39,1963,0,0,0,,,
2013-05-25,74,58,66,95,1880,41,1925,0,0,0,,,
2013-05-26,74,58,66,95,1880,42,1967,0,0,0,,,
2013-05-27,74,58,66,96,1880,41,1961,0,0,0,,,
2013-05-28,74,58,66,94,1959,43,1961,0,0,0,,,
2013-05-29,75,59,67,97,1969,43,1902,0,1,0,,,
2013-05-30,75,59,67,97,1987,42,1884,0,1,0,,,
2013-05-31,75,59,67,96,1939,46,1938,0,1,0,,,
2013-06-01,75,60,68,96,1895,44,1945,0,1,0,,,
2013-06-02,76,60,68,96,1895,48,1946,0,1,0,,,
2013-06-03,76,60,68,95,1895,45,1929,0,1,0,,,
2013-06-04,76,61,69,99,1925,48,1926,0,0,0,,,
2013-06-05,77,61,69,99,1925,47,1945,0,0,0,,,
2013-06-06,77,61,69,98,1925,47,1945,0,0,0,,,
2013-06-07,77,62,69,96,1925,47,1879,0,0,0,,,
2013-06-08,78,62,70,95,1933,47,1932,0,0,0,,,
2013-06-09,78,62,70,97,1933,47,1980,0,1,0,,,
2013-06-10,78,63,70,96,2008,49,1972,0,1,0,,,
2013-06-11,78,63,71,95,1973,46,1972,0,1,0,,,
2013-06-12,79,63,71,93,2017,48,1979,0,1,0,,,
2013-06-13,79,64,71,96,1961,51,1953,0,0,0,,,
2013-06-14,79,64,72,99,1956,49,1875,0,0,0,,,
2013-06-15,80,64,72,96,1994,48,1933,0,0,0,,,
2013-06-16,80,65,72,97,1891,52,1927,0,0,0,,,
2013-06-17,80,65,73,96,1957,51,1926,0,1,0,,,
2013-06-18,81,65,73,95,1929,48,1950,0,0,0,,,
2013-06-19,81,66,73,98,1994,52,1920,0,0,0,,,
2013-06-20,81,66,74,98,1923,49,1914,0,0,0,,,
2013-06-21,81,66,74,97,1988,49,1897,0,0,0,,,
2013-06-22,82,67,74,98,1988,52,1940,0,0,0,,,
2013-06-23,82,67,74,96,1888,49,1918,0,0,0,,,
2013-06-24,82,67,75,96,1888,52,1932,0,1,0,,,
2013-06-25,83,67,75,99,1952,53,1873,0,1,0,,,
2013-06-26,83,68,75,100,1952,56,1979,0,1,0,,,
2013-06-27,83,68,75,101,1966,55,1940,0,1,0,,,
2013-06-28,83,68,76,96,1991,54,1995,0,1,0,,,
2013-06-29,83,68,76,101,1934,52,1919,0,1,0,,,
2013-06-30,84,69,76,99,1964,53,1919,0,1,0,,,
2013-07-01,84,69,76,100,1901,52,1943,0,1,0,,,
2013-07-02,84,69,76,100,1966,56,2001,0,1,0,,,
2013-07-03,84,69,77,103,1966,54,1933,0,1,0,,,
2013-07-04,84,69,77,102,1949,55,1986,0,1,0,,,
2013-07-05,84,70,77,101,1999,53,1979,0,1,0,,,
2013-07-06,85,70,77,103,2010,54,1979,0,1,0,,,
2013-07-07,85,70,77,100,2010,56,1914,0,1,0,,,
2013-07-08,85,70,77,100,1993,56,1894,0,1,0,,,
2013-07-09,85,70,77,106,1936,54,1963,0,1,0,,,
2013-07-10,85,70,78,102,1993,55,1890,0,1,0,,,
2013-07-11,85,70,78,98,1988,57,1898,0,1,0,,,
2013-07-12,85,70,78,99,1966,57,1926,0,1,0,,,
2013-07-13,85,70,78,101,1966,54,1888,0,1,0,,,
2013-07-14,85,70,78,100,1954,58,1926,0,1,0,,,
2013-07-15,85,70,78,102,1995,57,1930,0,1,0,,,
2013-07-16,85,70,78,99,1980,56,1946,0,1,0,,,
2013-07-17,85,71,78,100,1953,57,1892,0,1,0,,,
2013-07-18,85,71,78,101,1953,57,1925,0,1,0,,,
2013-07-19,85,71,78,102,1977,57,1924,0,1,0,,,
2013-07-20,85,71,78,101,1980,55,1890,0,1,0,,,
2013-07-21,85,71,78,104,1977,55,1890,0,1,0,,,
2013-07-22,85,71,78,104,2011,58,1890,0,1,0,,,
2013-07-23,85,71,78,100,2011,58,1890,0,1,0,,,
2013-07-24,85,71,78,97,2010,56,1893,0,1,0,,,
2013-07-25,85,71,78,97,1999,57,1953,0,0,0,,,
2013-07-26,85,70,78,98,1940,55,1920,0,0,0,,,
2013-07-27,85,70,78,98,1963,55,1920,0,0,0,,,
2013-07-28,85,70,78,97,1999,57,1903,0,1,0,,,
2013-07-29,85,70,78,99,1949,59,1914,0,1,0,,,
2013-07-30,85,70,78,98,1988,57,1956,0,0,0,,,
2013-07-31,85,70,78,102,1933,57,1914,0,1,0,,,
2013-08-01,85,70,78,100,1933,59,1964,0,1,0,,,
2013-08-02,85,70,77,100,1955,57,1875,0,1,0,,,
2013-08-03,85,70,77,97,2005,55,1927,0,1,0,,,
2013-08-04,85,70,77,100,1944,55,1874,0,0,0,,,
2013-08-05,85,70,77,101,1944,56,1951,0,0,0,,,
2013-08-06,84,70,77,97,1955,56,1869,0,0,0,,,
2013-08-07,84,70,77,104,1918,57,1994,0,1,0,,,
2013-08-08,84,70,77,99,2001,54,1903,0,1,0,,,
2013-08-09,84,70,77,103,2001,57,1989,0,1,0,,,
2013-08-10,84,70,77,98,1949,55,1879,0,1,0,,,
2013-08-11,84,70,77,102,1944,56,1962,0,1,0,,,
2013-08-12,84,70,77,97,1944,55,1889,0,1,0,,,
2013-08-13,84,69,77,99,2005,55,1930,0,1,0,,,
2013-08-14,84,69,77,99,1988,54,1964,0,0,0,,,
2013-08-15,84,69,76,97,1988,54,1964,0,0,0,,,
2013-08-16,84,69,76,96,1944,55,1880,0,0,0,,,
2013-08-17,83,69,76,95,2015,56,1979,0,0,0,,,
2013-08-18,83,69,76,94,2002,55,1915,0,1,0,,,
2013-08-19,83,69,76,94,2002,55,1924,0,0,0,,,
2013-08-20,83,69,76,97,1955,55,1949,0,0,0,,,
2013-08-21,83,69,76,96,1955,53,1922,0,1,0,,,
2013-08-22,83,68,76,95,1916,52,1895,0,1,0,,,
2013-08-23,83,68,75,92,1916,51,1923,0,1,0,,,
2013-08-24,83,68,75,94,1972,52,1890,0,1,0,,,
2013-08-25,82,68,75,95,1948,52,1940,0,1,0,,,
2013-08-26,82,68,75,103,1948,53,1887,0,1,0,,,
2013-08-27,82,68,75,101,1948,50,1885,0,1,0,,,
